,TMC,Severity,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
921404,201.0,2,0.0,84.0,21.0,28.5,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1793899,201.0,3,12.869999885599999,73.4,83.0,30.18,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0
720592,241.0,2,0.0,81.0,69.0,30.16,10.0,16.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1708813,201.0,2,0.0,84.9,69.0,29.99,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
222189,201.0,2,0.01,24.1,65.0,30.51,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,1,0
1403448,201.0,2,0.0,43.0,62.0,30.21,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2068724,241.0,2,0.0,52.0,77.0,30.12,6.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1926263,201.0,2,0.0,43.0,93.0,29.77,8.0,12.7,0,0,1,0,0,0,0,0,0,0,0,1,0
2204510,201.0,2,0.0,60.1,53.0,30.01,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,1,1
442091,201.0,2,0.0,80.1,56.0,30.01,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
685237,201.0,3,0.25,46.0,86.0,29.83,6.0,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1
905248,201.0,2,0.0,54.0,82.0,29.39,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
611196,201.0,2,0.0,63.0,72.0,29.98,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1843771,201.0,2,0.0,84.2,76.0,29.91,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
491332,201.0,2,0.0,107.6,10.0,29.87,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2364610,201.0,2,0.0,52.0,80.0,30.35,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
1820829,201.0,2,0.0,75.9,79.0,29.95,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1197023,201.0,2,0.0,69.0,87.0,28.9,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2468505,201.0,2,0.0,84.0,74.0,29.94,10.0,8.1,0,0,1,0,0,0,1,0,0,0,0,0,0
2466124,201.0,2,0.0,82.4,74.0,29.84,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
1520307,241.0,2,0.0,34.0,79.0,30.41,8.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,1
2106,201.0,2,0.0,71.1,53.0,29.91,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
1953302,201.0,3,0.0,46.9,90.0,29.49,4.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1520887,241.0,3,0.0,53.1,29.0,30.35,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
687368,201.0,2,0.0,64.0,83.0,30.14,10.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0
218187,201.0,2,0.0,82.9,28.0,30.04,10.0,10.4,0,0,1,0,0,0,0,0,0,0,0,0,0
969866,201.0,3,0.0,74.0,73.0,29.38,10.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1
968265,241.0,2,0.0,79.0,32.0,27.72,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456698,201.0,2,0.0,53.1,41.0,30.18,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
798572,201.0,2,0.0,36.0,86.0,30.16,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2267243,201.0,3,0.0,51.1,50.0,30.09,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1215108,201.0,2,0.0,50.0,48.0,24.62,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828274,245.0,3,0.0,84.2,62.0,30.0,4.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1658558,201.0,3,0.0,62.1,67.0,29.93,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2419389,201.0,2,0.0,78.1,74.0,29.9,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
764602,201.0,2,0.0,48.0,86.0,29.61,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
324828,201.0,3,0.01,28.0,72.0,29.75,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1
